Date,Total
01-01-2004,271.9
01-02-2004,271.9
01-03-2004,270.9
01-04-2004,270.9
01-05-2004,270.8
01-06-2004,269.8
01-07-2004,269.8
01-08-2004,268.7
01-09-2004,267.7
01-10-2004,267.7
01-11-2004,266.6
01-12-2004,265.6
13-01-2004,264.6
14-01-2004,263.5
15-01-2004,262.5
16-01-2004,261.4
17-01-2004,259.4
18-01-2004,257.4
19-01-2004,255.4
20-01-2004,253.4
21-01-2004,250.3
22-01-2004,247.3
23-01-2004,245.3
24-01-2004,242.3
25-01-2004,240.2
26-01-2004,237.2
27-01-2004,235.9
28-01-2004,234.9
29-01-2004,231.9
30-01-2004,229.9
31-01-2004,227.8
02-01-2004,224.8
02-02-2004,222.8
02-03-2004,220.7
02-04-2004,217.7
02-05-2004,215.7
02-06-2004,213.6
02-07-2004,210.6
02-08-2004,208.6
02-09-2004,206.5
02-10-2004,204.5
02-11-2004,201.5
02-12-2004,199.4
13-02-2004,197.4
14-02-2004,195.4
15-02-2004,193.3
16-02-2004,190.3
17-02-2004,188.2
18-02-2004,186.3
19-02-2004,183.5
20-02-2004,181.8
21-02-2004,179.8
22-02-2004,176.8
23-02-2004,174.7
24-02-2004,172.7
25-02-2004,169.7
26-02-2004,167.6
27-02-2004,165.6
28-02-2004,162.5
29-02-2004,160.5
03-01-2004,157.4
03-02-2004,155.4
03-03-2004,153.3
03-04-2004,151.3
03-05-2004,149.2
03-06-2004,147.2
03-07-2004,145.2
03-08-2004,143.1
03-09-2004,143.96
03-10-2004,145.9
03-11-2004,148.4
03-12-2004,152.4
13-03-2004,156.2
14-03-2004,162.4
15-03-2004,168.7
16-03-2004,174.9
17-03-2004,180.5
18-03-2004,184.2
19-03-2004,185.7
20-03-2004,185.6
21-03-2004,185.3
22-03-2004,184.2
23-03-2004,184.9
24-03-2004,186.2
25-03-2004,188.5
26-03-2004,190.6
27-03-2004,192.4
28-03-2004,193.8
29-03-2004,195.1
30-03-2004,195.7
31-03-2004,196.7
04-01-2004,197.9
04-02-2004,199.2
04-03-2004,200
04-04-2004,199.9
04-05-2004,199.2
04-06-2004,197.3
04-07-2004,195.4
04-08-2004,194.1
04-09-2004,193.6
04-10-2004,194
04-11-2004,194.2
04-12-2004,193.4
13-04-2004,192.5
14-04-2004,191.4
15-04-2004,190.3
16-04-2004,188.3
17-04-2004,185.9
18-04-2004,183.5
19-04-2004,181.2
20-04-2004,178.8
21-04-2004,176.2
22-04-2004,173.8
23-04-2004,171.7
24-04-2004,169.6
25-04-2004,167.4
26-04-2004,165.2
27-04-2004,163.3
28-04-2004,161.1
29-04-2004,159.1
30-04-2004,156.9
05-01-2004,154.8
05-02-2004,152.6
05-03-2004,150.7
05-04-2004,152.5
05-05-2004,153.7
05-06-2004,158.2
05-07-2004,161.6
05-08-2004,163.8
05-09-2004,164.9
05-10-2004,165
05-11-2004,164.8
05-12-2004,163.3
13-05-2004,161.4
14-05-2004,159.4
15-05-2004,157.3
16-05-2004,155.1
17-05-2004,155.8
18-05-2004,156.3
19-05-2004,154.9
20-05-2004,153.1
21-05-2004,151.6
22-05-2004,150
23-05-2004,148.5
24-05-2004,147.2
25-05-2004,145.5
26-05-2004,143.6
27-05-2004,140
28-05-2004,139.5
29-05-2004,139
30-05-2004,137
31-05-2004,135.4
06-01-2004,134.6
06-02-2004,133.3
06-03-2004,132.1
06-04-2004,130.9
06-05-2004,129.7
06-06-2004,128.5
06-07-2004,127.3
06-08-2004,126.6
06-09-2004,126.6
06-10-2004,125.9
06-11-2004,125.6
